Platform,Type,Firm,Released,Units sold millions
PlayStation 2,Home,Sony,2000,155
Nintendo DS,Handheld,Nintendo,2004,154
Nintendo Switch,Hybrid,Nintendo,2017,129
Game Boy and Game Boy Color,Handheld,Nintendo,1989,118
PlayStation 4,Home,Sony,2013,117
PlayStation,Home,Sony,1994,102
Wii,Home,Nintendo,2006,101
PlayStation 3,Home,Sony,2006,87
Xbox 360,Home,Microsoft,2005,84
Game Boy Advance,Handheld,Nintendo,2001,81
PlayStation Portable,Handheld,Sony,2004,80
Nintendo 3DS,Handheld,Nintendo,2011,75
NES Famicom,Home,Nintendo,1983,61
Xbox One,Home,Microsoft,2013,58
SNES Super Famicom,Home,Nintendo,1990,49
Game & Watch,Handheld,Nintendo,1980,43
PlayStation 5,Home,Sony,2020,41
Nintendo 64,Home,Nintendo,1996,32
Sega Genesis Mega Drive,Home,Sega,1988,30
Atari 2600,Home,Atari,1977,30
Xbox,Home,Microsoft,2001,24
GameCube,Home,Nintendo,2001,21
Xbox Series X S,Home,Microsoft,2020,21
Quest 2,VR headset,Reality Labs Meta,2020,20
Wii U,Home,Nintendo,2012,13
PlayStation Vita,Handheld,Sony,2011,13
Master System,Home,Sega,1986,12
Game Gear,Handheld,Sega,1990,11
PC Engine TurboGrafx-16,Home,NEC Hudson Soft,1987,10
Sega Saturn,Home,Sega,1994,9
Dreamcast,Home,Sega,1998,9
Master System Brazil,Home,Tectoy,1989,8
Dendy famiclone,Home,Micro Genius,1992,6
Super NES Classic Edition,Dedicated,Nintendo,2017,5
Famicom Disk System,Home console add-on,Nintendo,1986,4
Advanced Pico Beena,Home,Sega,2005,4
NES Classic Edition,Dedicated,Nintendo,2016,3
WonderSwan,Handheld,Bandai,1999,3
Sega Pico,Home,Sega,1993,3
Color TV-Game,Dedicated,Nintendo,1977,3
Intellivision,Home,Mattel,1980,3
Mega Drive Brazil,Home,Tectoy,1990,3
N-Gage,Handheld,Nokia,2003,3
Mega-CD Sega CD,Home console add-on,Sega,1991,2
ColecoVision,Home,Coleco,1982,2
3DO Interactive Multiplayer,Home,The 3DO Company,1993,2
Neo Geo Pocket,Handheld,SNK,1999,2
Magnavox Odyssey,Home,Magnavox Philips,1978,2
Sega SG-1000,Home,Sega,1983,2
PC Engine CD-ROM,Home console add-on,NEC,1988,2
Atari 7800,Home,Atari,1986,1
Atari Lynx,Handheld,Atari,1989,1
Philips CD-i,Home,Philips,1990,1
Telstar,Dedicated,Coleco,1976,1
Atari 5200,Home,Atari,1982,1
Pegasus famiclone,Home,Micro Genius,1991,1
Oculus Quest,VR headset,Oculus,2019,1
